DCS-ID,SC-ID,BOARD,SLOT,SYSTEM,NAME,CAL-ID,W-CABLE,FLANGE,BOARD,CHAN,X,Y,Z,COMMENT,COMMENT2
47890261082394,TE0001,1,1,TGRAD,,39666,1.1,14.4.1,1,1,4,7385,4,,
47890277859610,TE0002,1,1,TGRAD,,39665,1.1,14.4.1,1,2,4,7267,4,,
47890294636826,TE0003,1,1,TGRAD,,39664,1.1,14.4.1,1,3,4,7149,4,,
47890311414042,TE0004,1,1,TGRAD,,39667,1.1,14.4.1,1,4,4,7031,4,,
47890328191258,TE0005,1,1,TGRAD,,39661,1.1,14.4.1,1,5,4,6913,4,,
47890344968474,TE0006,1,1,TGRAD,,39660,1.1,14.4.1,1,6,4,6795,4,,
47890361745690,TE0007,1,2,TGRAD,,39655,1.2,14.4.2,1,1,4,6677,4,,
47890378522906,TE0008,1,2,TGRAD,,39654,1.2,14.4.2,1,2,4,6559,4,,
47890395300122,TE0009,1,2,TGRAD,,39653,1.2,14.4.2,1,3,4,6441,4,,
47890412077338,TE0010,1,2,TGRAD,,39652,1.2,14.4.2,1,4,4,6323,4,,
47890428854554,TE0011,1,2,TGRAD,,99999,1.2,14.4.2,1,5,4,6205,4,,
47890445631770,TE0012,1,2,TGRAD,,39651,1.2,14.4.2,1,6,4,6087,4,,
47890462408986,TE0013,1,3,TGRAD,,39650,1.3,14.4.3,1,1,4,5969,4,,
47890479186202,TE0014,1,3,TGRAD,,40526,1.3,14.4.3,1,2,4,5851,4,,
47890495963418,TE0015,1,3,TGRAD,,40525,1.3,14.4.3,1,3,4,5733,4,,
47890512740634,TE0016,1,3,TGRAD,,40524,1.3,14.4.3,1,4,4,5615,4,,
47890529517850,TE0017,1,3,TGRAD,,39659,1.3,14.4.3,1,5,4,5497,4,,
47890546295066,TE0018,1,3,TGRAD,,39658,1.3,14.4.3,1,6,4,5379,4,,
47890563072282,TE0019,1,4,TGRAD,,39657,1.4,14.4.4,1,1,4,5143,4,,
47890579849498,TE0020,1,4,TGRAD,,39649,1.4,14.4.4,1,2,4,4907,4,,
47890596626714,TE0021,1,4,TGRAD,,39648,1.4,14.4.4,1,3,4,4671,4,,
47890613403930,TE0022,1,4,TGRAD,,39647,1.4,14.4.4,1,4,4,4435,4,,
