DCS-ID,SC-ID,BOARD,SLOT,SYSTEM,NAME,CAL-ID,W-CABLE,FLANGE,CHAN,X,Y,Z,COMMENT,COMMENT2
47891116720410,TE0052,3,1,HAWAI,HAWAI4,40003,3.1,,,7855,368,6258,,
47891133497626,TE0053,3,1,HAWAI,HAWAI5,40004,3.1,,,7855,267,6258,,
47891150274842,TE0054,3,1,HAWAI,HAWAI6,40005,3.1,,,7855,165,6258,,
47891167052058,TE0055,3,2,HAWAI,HAWAI7,40006,3.2,,,7855,3619,6258,,
47891183829274,TE0056,3,2,HAWAI,HAWAI8,40007,3.2,,,7855,3111,6258,,
47891200606490,TE0057,3,2,HAWAI,HAWAI9,40008,3.2,,,7855,2603,6258,,
47891217383706,TE0058,3,2,HAWAI,HAWAI10,40009,3.2,,,7855,2095,6258,,
47891234160922,TE0059,3,2,HAWAI,HAWAI11,40010,3.2,,,7855,1587,6258,,
47891250938138,TE0060,3,2,HAWAI,HAWAI12,40011,3.2,,,7855,1079,6258,,
47891267715354,TE0061,3,3,HAWAI,HAWAI13,40012,3.3,,,7855,6667,6258,,
47891284492570,TE0062,3,3,HAWAI,HAWAI14,40013,3.3,,,7855,6159,6258,,
47891301269786,TE0063,3,3,HAWAI,HAWAI15,40014,3.3,,,7855,5651,6258,,
47891318047002,TE0064,3,3,HAWAI,HAWAI16,40015,3.3,,,7855,5143,6258,,
47891334824218,TE0065,3,3,HAWAI,HAWAI17,40016,3.3,,,7855,4635,6258,,
47891351601434,TE0066,3,3,HAWAI,HAWAI18,40017,3.3,,,7855,4127,6258,,
47891368378650,TE0067,3,4,HAWAI,HAWAI19,40018,3.4,,,7855,7700,6258,,
47891385155866,TE0068,3,4,HAWAI,HAWAI20,40019,3.4,,,7855,7582,6258,,
47891401933082,TE0069,3,4,HAWAI,HAWAI21,40020,3.4,,,7855,7480,6258,,
47891418710298,TE0070,3,4,HAWAI,HAWAI22,40021,3.4,,,7855,7379,6258,,
47891435487514,TE0071,3,4,HAWAI,HAWAI23,40022,3.4,,,7855,7277,6258,,
47891452264730,TE0072,3,4,HAWAI,HAWAI24,40023,3.4,,,7855,7175,6258,,
47891469041946,TE0073,4,1,PP,PP2,37127,4.1,,,8545,257,2240,,
47891485819162,TE0074,4,1,PP,PP1,37142,4.1,,,8545,257,2340,,
47891502596378,TE0075,4,1,EMPTY,,,4.1,,,,,,PINS QUITADOS,
47891519373594,TE0076,4,1,EMPTY,,,4.1,,,,,,PINS QUITADOS,
47891536150810,TE0077,4,1,EMPTY,,,4.1,,,,,,PINS QUITADOS,
47891552928026,TE0078,4,1,EMPTY,,,4.1,,,,,,PINS QUITADOS,
47891569705242,TE0079,4,2,PRM,PRM-1,48733,4.2,,,7858,1700,6987,NO PARECE EL MAPPING CORRECTO POR EL PLOT,PARECE QUE HAY UNA CONFIGURACIÓN MAL EN LA DB
47891586482458,TE0080,4,2,PRM,PRM-2,49323,4.2,,,7858,2206,6987,NO PARECE EL MAPPING CORRECTO POR EL PLOT,DENTRO DE 1 MIN A VECES SE LEE SOLAMENTE 1 DATO
47891603259674,TE0081,4,2,PRM,PRM-3,49324,4.2,,,7858,3600,6987,NO PARECE EL MAPPING CORRECTO POR EL PLOT,
47891620036890,TE0082,4,2,PRM,PRM-4,48754,4.2,,,7858,4537,6987,NO PARECE EL MAPPING CORRECTO POR EL PLOT,
47891636814106,TE0083,4,2,PRM,PRM-5,48841,4.2,,,7858,5500,6987,NO PARECE EL MAPPING CORRECTO POR EL PLOT,
47891653591322,TE0084,4,2,PRM,PRM-6,48836,4.2,,,7858,6006,6987,NO PARECE EL MAPPING CORRECTO POR EL PLOT,
47891670368538,TE0085,4,3,PIPE,1-I,49319,4.3,,,1452,166,1200,,
47891687145754,TE0086,4,3,PIPE,1-U,39671,4.3,,,1470,186,7223,,
47891703922970,TE0087,4,3,PIPE,1-M,39631,4.3,,,3700,186,7438,,
47891720700186,TE0088,4,3,PIPE,2-I,49320,4.3,,,1452,179,5270,NO FUNCIONA,
47891737477402,TE0089,4,3,PIPE,2-U,37131,4.3,,,1470,186,5184,,
47891754254618,TE0090,4,3,PIPE,2-M,39670,4.3,,,5930,186,5399,,
47891771031834,TE0091,4,4,PIPE,3-I,49321,4.4,,,1452,183,3250,,
47891787809050,TE0092,4,4,PIPE,3-U,37136,4.4,,,1470,186,3164,,
47891804586266,TE0093,4,4,PIPE,3-M,37130,4.4,,,3700,86,3279,,
47891821363482,TE0094,4,4,PIPE,4-I,49322,4.4,,,1452,166,1200,,
47891838140698,TE0095,4,4,PIPE,4-U,39669,4.4,,,1470,186,1114,,
47891854917914,TE0096,4,4,PIPE,4-M,37133,4.4,,,5930,186,1329,,
47891871695130,TE0097,5,1,TLIQ,L6,,,,,,7290,,,
47891888472346,TE0098,5,1,TLIQ,L5,,,,,,7310,,,
47891905249562,TE0099,5,1,TLIQ,L4,,,,,,7470,,,
47891922026778,TE0100,5,1,TLIQ,L3,,,,,,7490,,,
47891938803994,TE0101,5,1,TLIQ,L2,,,,,,7510,,,
47891955581210,TE0102,5,1,TLIQ,L1,,,,,,7530,,,
47891972358426,TE0103,5,2,FLOOR,F1,40054,5.2,,,,,,,
47891989135642,TE0104,5,2,FLOOR,F2,40055,5.2,,,,,,,
47892005912858,TE0105,5,2,FLOOR,F3,40056,5.2,,,,,,,
47892022690074,TE0106,5,2,FLOOR,F4,40057,5.2,,,,,,,
47892039467290,TE0107,5,2,FLOOR,F5,40058,5.2,,,,,,,
47892056244506,TE0108,5,2,FLOOR,F6,40059,5.2,,,,,,,
47892073021722,TE0109,5,3,FLOOR,F7,40060,5.3,,,,,,,
47892089798938,TE0110,5,3,FLOOR,F8,40061,5.3,,,,,,,
47892106576154,TE0111,5,3,FLOOR,F9,40062,5.3,,,,,,,
47892123353370,TE0112,5,3,FLOOR,F10,40063,5.3,,,,,,,
47892140130586,TE0113,5,3,FLOOR,F11,40064,5.3,,,,,,,
47892156907802,TE0114,5,3,FLOOR,F12,40065,5.3,,,,,,,
47892173685018,TE0115,5,4,WALL,,40066,5.4,,,,6325,,,
47892190462234,TE0116,5,4,WALL,,40067,5.4,,,,4965,,,
47892207239450,TE0117,5,4,WALL,,40068,5.4,,,,3605,,,
47892224016666,TE0118,5,4,WALL,,40069,5.4,,,,2245,,,
47892240793882,TE0119,5,4,WALL,,40070,5.4,,,,885,,,
47892257571098,TE0120,5,4,,,,5.4,,,,,,PIN QUITADO ?,
47892274348314,TE0121,6,1,,,,6.1,,,,,,,
47892291125530,TE0122,6,1,,,,6.1,,,,,,,
47892307902746,TE0123,6,1,,,,6.1,,,,,,,
47892324679962,TE0124,6,1,,,,6.1,,,,,,,
47892341457178,TE0125,6,1,,,,6.1,,,,,,,
47892358234394,TE0126,6,1,,,,6.1,,,,,,,
47892375011610,TE0127,6,2,,,,6.2,,,,,,,
47892391788826,TE0128,6,2,,,,6.2,,,,,,,
47892408566042,TE0129,6,2,,,,6.2,,,,,,,
47892425343258,TE0130,6,2,,,,6.2,,,,,,,
47892442120474,TE0131,6,2,,,,6.2,,,,,,,
47892458897690,TE0132,6,2,,,,6.2,,,,,,,
47892475674906,TE0133,6,3,,,,6.3,,,,,,,
47892492452122,TE0134,6,3,,,,6.3,,,,,,,
47892509229338,TE0135,6,3,,,,6.3,,,,,,,
47892526006554,TE0136,6,3,,,,6.3,,,,,,,
47892542783770,TE0137,6,3,,,,6.3,,,,,,,
47892559560986,TE0138,6,3,,,,6.3,,,,,,,
47892576338202,TE0139,6,4,,,,6.4,,,,,,,
47892593115418,TE0140,6,4,,,,6.4,,,,,,,
47892609892634,TE0141,6,4,DEVICE,ADC,,6.4,,,,,,,
47892626669850,TE0142,6,4,DEVICE,CRATE,,6.4,,,,,,,
47892643447066,TE0143,6,4,,,,6.4,,,,,,,
47892660224282,TE0144,6,4,,,,6.4,,,,,,,
47892677001498,TE0145,7,1,BOTTOM,,,7.1,,,,,,,
