,TE0001,TE0002,TE0003,TE0004,TE0005,TE0006,TE0007,TE0008,TE0009,TE0010,TE0011,TE0012,TE0013,TE0014,TE0015,TE0016,TE0017,TE0018,TE0019,TE0020,TE0021,TE0022,TE0023,TE0024,TE0025,TE0026,TE0027,TE0028,TE0029,TE0030,TE0031,TE0032,TE0033,TE0034,TE0035,TE0036,TE0037,TE0038,TE0039,TE0040,TE0041,TE0042,TE0043,TE0044,TE0045,TE0046,TE0047,TE0048,TE0049,TE0050,TE0051,TE0052,TE0053,TE0054,TE0055,TE0056,TE0057,TE0058,TE0059,TE0060,TE0061,TE0062,TE0063,TE0064,TE0065,TE0066,TE0067,TE0068,TE0069,TE0070,TE0071,TE0072,TE0073,TE0074,TE0075,TE0076,TE0077,TE0078,TE0079,TE0080,TE0081,TE0082,TE0083,TE0084,TE0085,TE0086,TE0087,TE0088,TE0089,TE0090,TE0091,TE0092,TE0093,TE0094,TE0095,TE0096,IE_Card01,IE_Card02,IE_Card03,IE_Card04,IE_Card05,IE_Card06,IE_Card07,IE_Card08,IE_Card09,IE_Card10,TT0100,PT0106
2025-12-11 01:00:00+01:00,76.60058266775948,76.57682647705079,76.60464324951172,76.58393224080403,76.61531639099121,76.59144337972005,292.50525919596356,292.56009758843317,292.4903163909912,292.608485921224,292.5623304578993,292.5715976291233,292.5712398952908,292.7300205230713,292.59847852918836,292.6396369934082,292.5454271104601,292.56512451171875,292.59542677137586,292.5884037017822,292.4990072811351,292.49478827582465,292.51512145996094,292.5657222972197,76.5796127319336,76.57930840386285,76.60228184291294,76.58971840994698,76.60687117143111,76.6066068013509,76.5802001953125,76.59040298461915,76.62402725219727,76.60307203020368,76.59441223144532,76.61393410818917,76.59515658291903,76.58814378218217,76.5788591825045,76.60726759168837,76.59560879794034,76.62172985076904,76.6242135365804,76.5862421308245,76.5835386912028,76.59076636178153,76.6200704574585,76.59145444982192,55.25458208719889,31.148174173691693,31.1461321886848,31.140453656514484,31.143638049854953,31.144990921020508,68.28587383694119,31.14793300628662,31.148859904362606,31.145485814412435,31.1470547914505,31.14946802924661,31.142983156092026,31.148386546543666,31.143990635871887,31.14861061993767,31.14341269599067,31.13747999403212,69.31751441955566,31.14804963504567,31.143641691941482,31.14624532063802,31.14491631002987,31.145120726691353,293.4493431678185,293.7776371882512,293.7152671813965,293.75780910915796,418.46148003472223,482.6220991346571,293.63439002403845,293.72659660788145,293.7149011948529,293.5304314108456,323.2169206407335,381.312993367513,293.583932315602,293.54198879665796,293.5217500574449,293.53001912434894,319.0048183865017,396.6899770100911,293.0085618760851,293.7130073098575,293.64619535558364,292.75914091222427,321.3071797688802,356.13230387369794,1.0010008149676852,1.0009936425420973,0.0002946985591228844,4.028447045220269,0.0048290135002591545,1.0063870482974582,1.0353611376550462,4.037572357389662,0.004489631521412068,0.0518743929763635,23.089785966006193,975.1735992431641
2025-12-11 01:01:00+01:00,76.60072241889105,76.57720311482747,76.60469970703124,76.584228515625,76.61587066650391,76.59215927124023,292.5053202311198,292.5606867472331,292.4914225260417,292.6092071533203,292.5631694793701,292.57286173502604,292.57183837890625,292.7311275706572,292.59918212890625,292.6394778980928,292.5460887235754,292.565284280216,292.5956205480239,292.5886936187744,292.50082936006436,292.4967310288373,292.51788330078125,292.56656960880053,76.57967715793185,76.57909138997395,76.60199390758167,76.58987808227539,76.6069122314453,76.60624694824219,76.5799774169922,76.59031829833984,76.62377548217773,76.60287284851074,76.59417894151476,76.61393483479817,76.5948543548584,76.58783111572265,76.57837867736816,76.60689683393998,76.59551415076622,76.62156359354655,76.62434005737305,76.5864372253418,76.58356475830078,76.59090932210286,76.62019675118583,76.59160566329956,56.05948594037224,31.148462653160095,31.148797540103686,31.143513062421015,31.144743728637696,31.14567979176839,69.30454029756434,31.14814699613131,31.148966217041014,31.14522579738072,31.14691670735677,31.1500335420881,31.143277231852213,31.148594856262207,31.144036865234376,31.148247241973877,31.143542353312174,31.137134075164795,70.57821924546185,31.147847007302676,31.145025477689856,31.147207596722772,31.14643948872884,31.1453213411219,293.44895241477275,293.77729966905383,293.71529074276197,293.7576833871695,418.38024184283086,483.12653126436123,293.6341298421224,293.7260042078355,293.71489939970127,293.53023573931523,321.88031544404873,379.27538164924175,293.5839443206787,293.5419491038603,293.5216579437256,293.52915382385254,318.66410378848803,395.4050077550551,293.0089626312256,293.7129696116728,293.6477679084329,292.76042085535386,320.1385803222656,353.5581629136029,1.0009947173735674,1.000982074176564,0.0002911939672605299,4.028415231143727,0.004440567154875573,1.0063584622214823,1.035329166580649,4.037629071403952,0.004371852148324251,0.05122422865208458,23.08963613156919,975.8294677734375
2025-12-11 01:02:00+01:00,76.60045433044434,76.57678900824652,76.60474014282227,76.58403587341309,76.61573123931885,76.59188270568848,292.50526123046876,292.56054878234863,292.49054527282715,292.6085896809896,292.56250813802086,292.570837020874,292.5711346794577,292.7302281996783,292.59892721737134,292.63911527745864,292.5458170572917,292.5655331081814,292.5964643690321,292.58863740808823,292.50109524197046,292.4970194498698,292.5173170301649,292.56771681043836,76.5799674987793,76.5793228149414,76.60218238830566,76.58941650390625,76.60649719238282,76.60636956351144,76.57970275878907,76.5899887084961,76.62367587619357,76.60281829833984,76.59427490234376,76.61379623413086,76.5952079079368,76.58768717447917,76.57869829450335,76.60709190368652,76.59533882141113,76.62147730047053,76.62413533528645,76.58618273053851,76.58353658822867,76.59080559866769,76.62004366787997,76.5917134966169,55.69805590311686,31.14294168684218,31.147535218132866,31.14463581758387,31.144105686860925,31.145576900906033,69.02503246731229,31.1480655670166,31.149461919611152,31.1457683245341,31.147314230600994,31.149434248606365,31.14314365386963,31.148842112223306,31.14377534389496,31.148263692855835,31.143377661705017,31.13723137799431,71.10653432210286,31.148263931274414,31.144791322595932,31.14678674585679,31.145232796669006,31.14613207648782,293.44903564453125,293.77734375,293.7148204130285,293.75758192274304,420.0836418999566,486.5851236979167,293.63457174862134,293.72632553998164,293.7159316119026,293.53138563368054,324.34560139973956,383.8409729003906,293.5845235188802,293.54219394259985,293.5228002211627,293.5294070773655,320.32486640082465,399.58243984646265,293.00938606262207,293.71245930989585,293.647705078125,292.7602250840929,321.1051381429036,355.3647274441189,1.0010008149676852,1.0009949737124972,0.0002984221840354924,4.028453164630466,0.004775818857726538,1.0063498152626886,1.0352653993500605,4.037694692611694,0.00446728973959883,0.0514722414728668,23.09589621599983,975.5015258789062
2025-12-11 01:03:00+01:00,76.60056898328993,76.57694816589355,76.60457338605609,76.58394276012073,76.61553192138672,76.59159681532118,292.50620320638023,292.561518052045,292.492036819458,292.6100107828776,292.5625190734863,292.57106590270996,292.57051277160645,292.7285461425781,292.59804041245405,292.63985527886285,292.5466995239258,292.5662197536892,292.5957675509983,292.5877956814236,292.4988945855035,292.49287753634985,292.5135498046875,292.5625644259983,76.58000074114118,76.57923126220703,76.60192192925348,76.58967018127441,76.60691833496094,76.60637664794922,76.57981967926025,76.59037475585937,76.62361450195313,76.60302323561449,76.59407598322088,76.6136342828924,76.5947766985212,76.58771514892578,76.57850456237793,76.60723524827223,76.5957100608132,76.62200101216634,76.62451235453288,76.58653106689454,76.5838394165039,76.59072766985211,76.6197939786044,76.59093475341797,55.48778788248698,31.144708421495224,31.14958127339681,31.143383238050674,31.14435492621528,31.14527043429288,69.00571568806966,31.148043314615887,31.148691524158824,31.145514488220215,31.146332373985878,31.148789596557616,31.143465314592635,31.147464116414387,31.14373002733503,31.149982452392578,31.144697974709903,31.14031879718487,70.23810407850478,31.149423360824585,31.145118937772864,31.145135243733723,31.145168985639298,31.143530527750652,293.4491034613715,293.7778843470982,293.7155570983887,293.7579922146267,421.1800774468316,488.71468777126734,293.63506002987134,293.7264156341553,293.7151884191176,293.53042941623266,325.4949239095052,386.58110894097223,293.5841284857856,293.54113949046416,293.52222218233,293.5319654676649,320.747563680013,400.88884989420575,293.0113254123264,293.7151828342014,293.64848776424634,292.75777011447485,322.7997317843967,359.4663560655382,1.0009888410568237,1.0009739730093214,0.00028565546542975225,4.028403679529826,0.0037374585453006956,1.0064147114753723,1.0346515244907803,4.037885162565443,0.0044311173260211945,0.05037962272763252,23.099176788330077,975.6365356445312
2025-12-11 01:04:00+01:00,76.60069561004639,76.57655843098958,76.60431840684679,76.58356221516927,76.61545467376709,76.59142456054687,292.5066345214844,292.5612467447917,292.4924011230469,292.6104341394761,292.5630411783854,292.5723083496094,292.57153140797334,292.7305710736443,292.60007970473345,292.64149373372396,292.5490489286535,292.5669651031494,292.5971431732178,292.5884246826172,292.4986915588379,292.4937744140625,292.5133314866286,292.56459045410156,76.58001624213324,76.57971572875977,76.60243225097656,76.58990817599826,76.60665384928386,76.60656229654948,76.5802001953125,76.5902214050293,76.6237808227539,76.60303170340401,76.59449877057757,76.6136589050293,76.59527015686035,76.58813912527901,76.57885074615479,76.60757598876953,76.59627641950335,76.62230613014914,76.6251484264027,76.5868349942294,76.58339352077908,76.59053626427284,76.61929931640626,76.59119473970853,55.9564738554113,31.147340647379558,31.14571133781882,31.144183663760913,31.143330510457357,31.145299077033997,68.1781400792739,31.147655833851207,31.148661613464355,31.145320347377233,31.146304539271764,31.14904359670786,31.143335635845478,31.148329798380534,31.14451789855957,31.150599241256714,31.14626693725586,31.139231618245443,70.51855423871208,31.148383331298827,31.143709182739258,31.144417370066922,31.142483592033386,31.143138997695026,293.4500213623047,293.77838134765625,293.71582984924316,293.7588457380022,421.2963651769301,489.50084731158086,293.6342029571533,293.7255859375,293.71409708658854,293.52978897094727,326.50693287568936,388.3874906652114,293.58421325683594,293.54251457663145,293.52380180358887,293.53272740981157,319.707420797909,399.3446403952206,293.01111557904414,293.71370741900273,293.6466800465303,292.75675874597886,322.45008042279414,360.12792071174175,1.0009877050624174,1.0009792552274817,0.0002878145417472457,4.028408302980311,0.004681632867740358,1.0062998883864458,1.0349484261344462,4.037586240207448,0.00427384879987906,0.05163088660029804,23.108475024883564,975.7137247721354
2025-12-11 01:05:00+01:00,76.6007308959961,76.57710113525391,76.60477011544364,76.5839319229126,76.61596425374348,76.59161987304688,292.50668552943637,292.56185574001734,292.49289894104004,292.6113173540901,292.56434900620405,292.573429107666,292.5732442220052,292.7310791015625,292.600353664822,292.64079194910386,292.54762098524304,292.5657222972197,292.5953589545356,292.5882687038845,292.4997774011949,292.4944610595703,292.5160912407769,292.56737263997394,76.58019910539899,76.57975769042969,76.60259704589843,76.58994674682617,76.60713195800781,76.60702133178711,76.5800952911377,76.5907461983817,76.62413940429687,76.60342712402344,76.59462483723958,76.61393410818917,76.59525715221058,76.5880595615932,76.57881571451823,76.6076042175293,76.59588241577148,76.62230428059895,76.62448338099888,76.58669662475586,76.58375021127554,76.59083691765281,76.62005942208427,76.59196853637695,55.03539424472385,31.144163661532932,31.1504186742446,31.142838690016006,31.144408162434896,31.14576268196106,68.5463195376926,31.147848649458453,31.14905881881714,31.14548568725586,31.14677321910858,31.149009108543396,31.14326353634105,31.148205252254712,31.14460325241089,31.14993782043457,31.144702792167664,31.13838498732623,69.01446639166937,31.148050414191353,31.144183663760913,31.14538361044491,31.14519691467285,31.145223723517525,293.4512023925781,293.7793468128551,293.716983795166,293.75811971028645,420.7568647596571,487.5454271104601,293.63445875379773,293.72679766486675,293.71499803331164,293.53007888793945,324.873786078559,385.98565504286023,293.58488273620605,293.5432349310981,293.524024514591,293.5324897766113,321.28409491644965,402.11902703179254,293.00915866427954,293.7138197157118,293.6480950249566,292.75776841905383,323.02656724717883,360.7715827094184,1.0009962916374207,1.0009909802012973,0.000290974929359638,4.028427335951063,0.004224721875895436,1.0064498252338834,1.0349440905782912,4.037859545813666,0.004434309046094616,0.050919016616211996,23.090279579162598,975.5786946614584
2025-12-11 01:06:00+01:00,76.60074070521763,76.57682495117187,76.60439491271973,,76.61577860514323,76.59181213378906,292.50712890625,292.5622300368089,292.49369363223803,292.61234956629136,292.5652124741498,292.5737520105699,292.57312202453613,292.73152968462773,292.6004238128662,292.641061221852,292.5476038315717,292.5656630572151,292.5958934110754,292.5882110595703,292.50053854549634,292.4952877269072,292.51752247529873,292.5678872501149,76.58001454671223,76.57992267608643,76.60225931803386,76.58973948160808,76.60702133178711,76.60668351915147,76.57997589111328,76.59055675159802,76.62404959542411,76.60342712402344,76.5947166442871,76.61440876552037,76.5954326282848,76.58829359574752,76.57859108664773,76.60754156112671,76.59596113725142,76.62203147194602,76.62470081874302,76.58665084838867,76.58364562988281,76.59090932210286,76.62031504313151,76.59207051595052,56.08047193639419,31.145713329315186,31.146443871890796,31.14359126371496,31.14417278766632,31.146060943603516,68.38086431166705,31.14780044555664,31.149460728963216,31.145585332598007,31.147216924031575,31.149566904703775,31.142718371223,31.148396015167236,31.143900598798478,31.14917480945587,31.14430522918701,31.137942123413087,70.29654155058019,31.148131132125854,31.144669890403748,31.145352419684915,31.14578920252183,31.145911693572998,293.4504921653054,293.7785873413086,293.71600341796875,293.7584457397461,420.5476379394531,487.4323335535386,293.6344299316406,293.7272208077567,293.7159818761489,293.5303588867188,325.06701839671416,385.0269416360294,293.58445829503677,293.54322186638325,293.52334056181064,293.5314197540283,319.8082813936121,399.37132532456343,293.0095807243796,293.71410235236675,293.6481969496783,292.75764016544116,321.7237584731158,357.73050285788145,1.000999829348396,1.0009981253567863,0.0002956998719395522,4.028437558342429,0.004732324330903152,1.0062874836080216,1.0353122598984663,4.037564866683063,0.004389875814976061,0.051903493921546376,23.090279579162598,975.5497436523438
2025-12-11 01:07:00+01:00,76.60068817138672,76.57681083679199,76.60461316789899,76.58384857177734,76.61576080322266,76.59153529575893,292.5060119628906,292.5617167154948,292.4924908806296,292.61106872558594,292.5648157456342,292.5739559597439,292.5740705217634,292.7328586578369,292.60123867458765,292.6423759460449,292.54933435776655,292.5683360380285,292.59944915771484,292.5915747748481,292.5032433403863,292.4973449707031,292.5160432703355,292.56710994944854,76.58000183105469,76.57980007595486,76.60227584838867,76.59002626859225,76.6072982788086,76.60697682698567,76.58023943219867,76.59046088324652,76.62419806586371,76.6031847000122,76.5945794241769,76.61385563441685,76.59540843963623,76.58819743565151,76.57861397483133,76.60757509867351,76.59605952671596,76.62215562300248,76.6249747643104,76.58671951293945,76.58375331333706,76.59096309116909,76.61957315298227,76.59120381673178,54.89960500929091,31.13771367073059,31.14609252081977,31.142146852281357,31.14489968617757,31.145580410957336,69.0008167690701,31.147747421264647,31.149023056030273,31.145447731018066,31.146595348011363,31.14916051228841,31.143233666053185,31.14817097981771,31.14384138584137,31.149717555326575,31.14541518688202,31.13868096295525,69.95771111382379,31.14873560737161,31.145315527915955,31.14583905537923,31.142516493797302,31.143684948191922,293.45070190429686,293.77882893880206,293.717233096852,293.75939761891084,417.8795386420356,483.1790415445964,293.63480461968317,293.7277526855469,293.71569485134546,293.53002391142,324.57952711317273,383.7638888888889,293.58494657628677,293.54321827608,293.52295819450825,293.5326656765408,319.8644782172309,397.81952412923175,293.0113067626953,293.7149590386285,293.6494615342882,292.75816917419434,321.3212365044488,355.89999220106336,1.0009939074516296,1.0009864701165094,0.0002885811716421611,4.028415679931641,0.004972639144398272,1.0063253442446392,1.0352462662590876,4.037502103381687,0.00445239517527322,0.05107966417239772,23.096789169311524,975.3664957682291
2025-12-11 01:08:00+01:00,76.60062190464565,76.57678858439128,76.60447845458984,76.58406829833984,76.61531829833984,76.5915355682373,292.5054673414964,292.56105310776655,292.4925101143973,292.6105651855469,292.56451212565105,292.5733337402344,292.5734329223633,292.73179117838544,292.6001138126149,292.64254042681523,292.5493702607996,292.5675571986607,292.5987377166748,292.5907143985524,292.5020177504596,292.4957752227783,292.5159696691176,292.5667381286621,76.5803092956543,76.57964706420898,76.60256958007812,76.59019361223493,76.60752868652344,76.60691146850586,76.5802001953125,76.59058816092355,76.62404378255208,76.60335193980823,76.59466976589627,76.61440822056362,76.59525553385417,76.58817836216518,76.5788580087515,76.60789807637532,76.5964126586914,76.62235042027065,76.62491302490234,76.58685596172626,76.58418764386859,76.59095458984375,76.62013789585659,76.59190622965495,54.86101397346048,31.148595213890076,31.1519775390625,31.14203228670008,31.14528250694275,31.145431637763977,67.8956397561466,31.14794320326585,31.148882071177166,31.14559819148137,31.147247950236004,31.149145419781025,31.143179059028625,31.148064833420975,31.143153762817384,31.149634728064903,31.145255915323894,31.13902187347412,68.7221861446605,31.149072011311848,31.145008595784507,31.14596164226532,31.14437162876129,31.144967913627625,293.4512459891183,293.78003692626953,293.7180611746652,293.75981576102123,421.07945879767925,487.8401112275965,293.6345024108887,293.72740801642925,293.7161010742187,293.53048885569854,324.5827600815717,385.56473855411303,293.58550486845127,293.54327392578125,293.52321131089155,293.53314208984375,320.16045604032627,399.29169239717373,293.0110656738281,293.7151668772978,293.6492435230928,292.7588518928079,322.8946748621324,359.7860645967371,1.0009913514642155,1.0009891145369585,0.00028950425707187285,4.028422103208654,0.004573491244467304,1.0064136350856108,1.034613847732544,4.037811559789321,0.004470982054686721,0.05082207720945863,23.090279579162598,975.5497436523438
2025-12-11 01:09:00+01:00,76.6004638671875,76.57671508789062,76.60467147827148,76.58406829833984,76.6156857808431,76.59141286214192,292.5061206817627,292.5613446916853,292.49243927001953,292.6108684539795,292.56449127197266,292.5737631661551,292.57333553538604,292.7313824821921,292.6009012858073,292.6414902630974,292.5489717371324,292.56701839671416,292.5972843170166,292.59009128146704,292.50209314682905,292.49650382995605,292.5182410346137,292.5689425998264,76.57984379359654,76.57939275105794,76.60204442342122,76.58980751037598,76.60688400268555,76.60643482208252,76.57983144124348,76.5904312133789,76.62384414672852,76.60302456942472,76.59439341227214,76.61400349934895,76.59534793429904,76.5879628108098,76.57881650057706,76.6072981092665,76.59581063010476,76.62190093994141,76.62425931294759,76.58631563186646,76.5833247258113,76.59060777936664,76.6200361251831,76.59197896321615,54.99010721842448,31.14264710744222,31.14445424079895,31.14182965895709,31.143984095255533,31.145524305455826,68.13356018066406,31.147776343605734,31.148819263164814,31.14576835632324,31.147043091910227,31.149408885410853,31.143238067626953,31.148188654581705,31.144525119236537,31.149327670826633,31.144338488578796,31.137872549203728,69.39501953125,31.14746437072754,31.143918430103977,31.14558646258186,31.145383947035846,31.146147896261777,293.4515075683594,293.779541015625,293.71863690544575,293.76019287109375,420.561528523763,487.0943790011936,293.6344460880055,293.7271202935113,293.71605547736675,293.5313361672794,323.49133639865454,383.158214992947,293.58594563802086,293.54336009306064,293.5252668592665,293.5333575080423,319.8391825358073,399.7432166205512,293.00875176323785,293.71372884114584,293.6486511230469,292.75861672794116,322.19808112250433,358.7275221082899,1.0009965631696913,1.0009909868240356,0.0002888471434643078,4.028447575039333,0.004057690556186976,1.0064232349395752,1.0347866482204862,4.037982013490465,0.004470481433802181,0.051466921965281166,23.099889755249023,975.5979817708334
