,PDHD-HP-13,PDHD-HP-14,PDHD-HP-15,PDHD-HP-16,PDHD-HP-17,PDHD-HP-18,PDHD-HP-19,PDHD-HP-20,PDHD-HP-21,PDHD-HP-22,PDHD-HP-23,PDHD-HP-24,PDHD-HP-25,PDHD-HP-26,PDHD-HP-27,PDHD-HP-28,PDHD-HP-29,PDHD-HP-30,PDHD-HP-31,PDHD-HP-32,PDHD-HP-33,PDHD-HP-34,PDHD-HP-35,PDHD-HP-36,PDHD-HP-37,PDHD-HP-38,PDHD-HP-39,PDHD-HP-40,PDHD-HP-41,PDHD-HP-42,PDHD-HP-43,PDHD-HP-44,PDHD-HP-45,PDHD-HP-46,PDHD-HP-47,PDHD-HP-48,PDHD-HP-49,PDHD-HP-50,PDHD-HP-51,PDHD-HP-52,PDHD-HP-53,PDHD-HP-54,PDHD-HP-55,PDHD-HP-56,PDHD-HP-57,PDHD-HP-58,PDHD-HP-59,PDHD-HP-60
PDHD-HP-13,0.0,-0.027317531015281293,0.002502792799792597,0.009006766576016425,0.007712260165760338,-0.02994677324527314,-0.03170038429163413,-0.0028484262496768116,-0.014065359427609354,0.01420728910903937,0.005846255957006354,-0.0020881923076922007,-0.021238818104351884,-0.0011945579387235231,-0.009522120862107438,-0.03032380288777786,0.002703328816903157,0.016069784420238792,-0.001898974121917566,-0.0014452817559452132,-0.006299023709060924,-0.01625554811239432,-0.0038174324258596834,0.005976061594305987,0.013073714452810026,0.013480539408366408,-0.010461526148680437,0.0037277543265790834,-0.014574756812816997,-0.013345143934617543,-0.012485269168734903,0.009630084891108422,-0.01786567584415813,0.0029168113598523958,-0.028819106052424034,-0.005676189542469982,-0.014586567248308422,0.003171493777092969,0.01397278470691686,0.00017816344207171244,-0.020078650048387266,-0.014719538428277782,-0.01814111218119612,0.008289923275618675,-0.0032167839937627778,-0.02644990406159137,0.0070821286594920495,-0.012710771655170492
PDHD-HP-14,0.027317531015281293,0.0,0.02982032381507389,0.03632429759129772,0.03502979118104163,-0.0026292422299918476,-0.004382853276352839,0.02446910476560448,0.013252171587671939,0.04152482012432066,0.03316378697228765,0.025229338707589092,0.006072530412659732,0.026115497052082555,0.017789672528504153,-0.0030115776898406183,0.030016199642231536,0.04338705817475207,0.025417785433066786,0.02587016066128165,0.02101455355470531,0.011060824637495532,0.023494364950619,0.03328830697622042,0.04039016254503636,0.04079576791381219,0.01685529012346324,0.03104405706526573,0.01274188364523044,0.013971529630033749,0.01483181499953461,0.03694653799555612,0.009450409205669275,0.030234016669645477,-0.0015024959883368468,0.021640572277550247,0.012731013563488028,0.03049255896028745,0.04129125233895946,0.02749829102307906,0.007239565093974788,0.012598529766363494,0.009177763616181068,0.03560876437871526,0.02410175432119813,0.0008678489198873997,0.03440015641361217,0.014606981079760373
PDHD-HP-15,-0.002502792799792597,-0.02982032381507389,0.0,0.006503973776223828,0.005209467365967741,-0.032449566045065735,-0.03420317709142673,-0.0053512190494694085,-0.01656815222740195,0.011704496309246772,0.0033434631572137573,-0.004590985107484798,-0.0237456947383613,-0.00370227605750434,-0.01202870748605714,-0.03283010760333274,0.00019744645539034885,0.013566817907449978,-0.004402285564839886,-0.003949470027607326,-0.008804442664661198,-0.018759117890951412,-0.006324016449558456,0.0034697700667716148,0.010570236729868147,0.010976338492900877,-0.012964777295487187,0.001224188377396229,-0.017078116745107823,-0.0158484834684293,-0.014988352139740162,0.007126610222021727,-0.020369372780461983,0.0004138055797366223,-0.031322484678085016,-0.008179474504854258,-0.017089326514997498,0.0006708679354712779,0.011470598089873312,-0.0023230104994068253,-0.02258099663360615,-0.017221979061232306,-0.02064304397538145,0.005787969987331742,-0.005718926164907396,-0.028952549300251616,0.004579662008819393,-0.01521341705570676
PDHD-HP-16,-0.009006766576016425,-0.03632429759129772,-0.006503973776223828,0.0,-0.0012945064102560869,-0.038953539821289566,-0.04070715086765056,-0.011855192825693237,-0.02307212600362578,0.005200522533022944,-0.0031605106190100707,-0.011094958883708626,-0.03025074590309399,-0.010207557689305277,-0.018533679636161534,-0.03933500322097123,-0.0063073350601433285,0.007062800783122453,-0.010906390237788412,-0.01045380160497631,-0.015309099817939792,-0.02526328887115594,-0.012828987892464417,-0.0030351219776573214,0.004066062932450206,0.004471922624838295,-0.019468880804887758,-0.005280013592322339,-0.023582253612480834,-0.022352614024008538,-0.021492405680141123,0.0006224373921131014,-0.02687361733090107,-0.006090225780120097,-0.03782662735186168,-0.014683588302298224,-0.023593291864215885,-0.005832429567904552,0.004966792253877736,-0.008826496541210047,-0.029084849031642036,-0.02372585821109944,-0.027146773184316596,-0.0007157657937007939,-0.012222718844435154,-0.03545648476208587,-0.001924224453027645,-0.021717352560886975
PDHD-HP-17,-0.007712260165760338,-0.03502979118104163,-0.005209467365967741,0.0012945064102560869,0.0,-0.03765903341103348,-0.039412644457394466,-0.01056068641543715,-0.02177761959336969,0.006495028943279031,-0.0018660042087539838,-0.009800452473452539,-0.028951584312364987,-0.008907425598661178,-0.01723485195712622,-0.03803649976097624,-0.005009316605746981,0.008357501877156325,-0.00961130057046949,-0.009157718305590461,-0.014011612414024667,-0.023967907185962548,-0.011530163205640848,-0.0017366336756719223,0.005361375177915895,0.005768124540195594,-0.018173840411651817,-0.0039845944861407,-0.022287083184378307,-0.021057468050435908,-0.020197564283696387,0.0019177459482315024,-0.025578038635909447,-0.004795474754423824,-0.03653143448548197,-0.013388507590556318,-0.02229882311546145,-0.004540526953935249,0.006260597170171464,-0.007533913558131229,-0.02779085607217725,-0.022431755499342714,-0.025853270940568367,0.0005777621176244594,-0.01092896645515259,-0.03416214573657331,-0.0006300914939020194,-0.02042301334999638
PDHD-HP-18,0.02994677324527314,0.0026292422299918476,0.032449566045065735,0.038953539821289566,0.03765903341103348,0.0,-0.0017536110463609914,0.02709834699559633,0.015881413817663788,0.04415406235431251,0.035793029202279496,0.02785858093758094,0.00870288729078191,0.028746095613153437,0.02041994666899843,-0.0003813835838076317,0.03264627464475536,0.046016344322541446,0.028047160834264624,0.02849976905960459,0.023644499075168232,0.013690267917654089,0.026124638351059448,0.035918497348299216,0.04301962043988646,0.04342550213080807,0.019484670415461446,0.0336735464499624,0.015371300584579261,0.016600939608787033,0.017461141109253692,0.03957599481263733,0.012079946556864661,0.03286331905541833,0.00112692736468661,0.024269963834647,0.015360247233318561,0.033121049593458345,0.043920317380751195,0.030126999863191773,0.009868680207519144,0.015227673380039294,0.011806745130604786,0.0382377531074347,0.026730805116585852,0.0034970517485114726,0.037029307779454776,0.017236183953477216
PDHD-HP-19,0.03170038429163413,0.004382853276352839,0.03420317709142673,0.04070715086765056,0.039412644457394466,0.0017536110463609914,0.0,0.02885195804195732,0.017635024864024778,0.045907673400673504,0.03754664024864049,0.02961219198394193,0.010468602746350262,0.03051418960862882,0.022184836190826854,0.0013826995725240037,0.03440914274781606,0.04777050845580618,0.02980239764655485,0.0302576640250211,0.025406023642554804,0.01544629617227894,0.027889520451337566,0.03768254269338103,0.044775060022083736,0.045182654270646654,0.021239541656284045,0.035429202144245456,0.017126447354308197,0.01835603511537293,0.019215574089262093,0.0413314268678003,0.01383591873930882,0.03461754429408422,0.002882120961116337,0.026024921305572258,0.01711375252031089,0.03486916221038795,0.045672224108533256,0.03187639207218224,0.011621012402283182,0.016980261460779644,0.01355799413403945,0.03998905678014788,0.028482595505960568,0.005250216626074618,0.03878196753401109,0.01898934930165984
PDHD-HP-20,0.0028484262496768116,-0.02446910476560448,0.0053512190494694085,0.011855192825693237,0.01056068641543715,-0.02709834699559633,-0.02885195804195732,0.0,-0.011216933177932542,0.01705571535871618,0.008694682206683166,0.0007602339419846109,-0.01839053772848588,0.0016536932749601793,-0.006673830388459383,-0.027475502569986397,0.005551643940038727,0.018918204193462046,0.0009494329601279628,0.0014030935455843117,-0.003450692257171602,-0.013407150453086483,-0.00096914186154352,0.008824362373341561,0.0159221180534866,0.016328921569517096,-0.007613115418937795,0.006576155213991606,-0.011726349536996387,-0.010496736015749792,-0.009636852965357,0.012478488586284434,-0.015017278928736631,0.00576523014206446,-0.025970699364125525,-0.002827779892983362,-0.011738139755160526,0.006019988305985047,0.016821231823739964,0.0030266420354928885,-0.017230208223916785,-0.011871099771334156,-0.015292656844215288,0.01113837792820877,-0.00036833542566531904,-0.023601472475563857,0.009930566431919256,-0.009862340074856884
PDHD-HP-21,0.014065359427609354,-0.013252171587671939,0.01656815222740195,0.02307212600362578,0.02177761959336969,-0.015881413817663788,-0.017635024864024778,0.011216933177932542,0.0,0.028272648536648723,0.019911615384615708,0.011977167119917153,-0.007177110400944035,0.0128663997428484,0.004539845452141991,-0.016261585108907017,0.016765923497123084,0.030134987799440856,0.012165919833869738,0.012618826890822643,0.00776398474107037,-0.0021908856852847843,0.010244536207470886,0.020038291139004877,0.027138466754496375,0.02754465875227407,0.0036034258800813077,0.01779242906576129,-0.0005099007805829745,0.0007197300830649177,0.0015798316908340368,0.023694839879510904,-0.003801116066435438,0.01698198073521973,-0.014754266496412396,0.00838873262469713,-0.0005211777148001514,0.017238762761399042,0.02803868393841737,0.014244953937688484,-0.00601289264647103,-0.0006538645796330146,-0.004074987678883165,0.022356028805304524,0.010849154584785059,-0.01238441251019506,0.021147779369260607,0.001354719751661252
PDHD-HP-22,-0.01420728910903937,-0.04152482012432066,-0.011704496309246772,-0.005200522533022944,-0.006495028943279031,-0.04415406235431251,-0.045907673400673504,-0.01705571535871618,-0.028272648536648723,0.0,-0.008361033152033015,-0.01629548141673157,-0.03544865753694106,-0.015404916827902715,-0.023731780957457,-0.04453328846162394,-0.011505894898930488,0.0018623850317495243,-0.016106591391802594,-0.01565344972121302,-0.020507959535489968,-0.030463328024792038,-0.01802709091236941,-0.008233415810251875,-0.001133989459317259,-0.0007275835274472139,-0.02466909550638178,-0.010480001492551703,-0.028782391012676163,-0.02755276601099773,-0.026692737276275868,-0.004577617219738459,-0.03207350828183545,-0.011290609786607573,-0.04302675134872892,-0.019883779106507096,-0.028793835113015472,-0.011034509195046739,-0.00023413132984378854,-0.014028154399586544,-0.034285663022497845,-0.02892660880091504,-0.032347875365544565,-0.005916852733808832,-0.017423673238591116,-0.04065710058047564,-0.007124957651128804,-0.026917968274687443
PDHD-HP-23,-0.005846255957006354,-0.03316378697228765,-0.0033434631572137573,0.0031605106190100707,0.0018660042087539838,-0.035793029202279496,-0.03754664024864049,-0.008694682206683166,-0.019911615384615708,0.008361033152033015,0.0,-0.007934448264698555,-0.027086355097242065,-0.0070423533153667955,-0.015369568513699867,-0.03617116351572745,-0.003143901075463302,0.010223472297939433,-0.007745396738028099,-0.007291982292212451,-0.01214610962908778,-0.022102052977407048,-0.009664879275594335,0.00012870504196568988,0.007227255236044232,0.007633881915223071,-0.016307920477398912,-0.0021187297399990267,-0.020421182501616866,-0.019191563773407774,-0.018331614138641334,0.0037836265383854994,-0.023712196426669503,-0.002929510524188183,-0.03466553709050072,-0.011522593662943146,-0.02043281240444193,-0.0026741415414637637,0.008126713931772235,-0.005667619962141931,-0.025924768328723848,-0.020565684999081704,-0.02398710865309901,0.002443920595227854,-0.009062841694338984,-0.032296113324450586,0.0012359742095481234,-0.01855698096838414
PDHD-HP-24,0.0020881923076922007,-0.025229338707589092,0.004590985107484798,0.011094958883708626,0.009800452473452539,-0.02785858093758094,-0.02961219198394193,-0.0007602339419846109,-0.011977167119917153,0.01629548141673157,0.007934448264698555,0.0,-0.019152577115644366,0.0008912874228999789,-0.0074357431894559135,-0.02823729214295787,0.004790039344732753,0.018157891799922474,0.00018896579920261465,0.0006422358773173786,-0.004212093364567519,-0.014167733029682123,-0.0017310535267431998,0.008062578569672994,0.015161593093756937,0.015568106430456181,-0.008373546527528275,0.0058155941482034,-0.012486825921514988,-0.011257203942255425,-0.010397213167973662,0.01171796488044038,-0.015777893199505216,0.005004902927868363,-0.02673118348735853,-0.0035882251209366383,-0.01249835859339226,0.005260651487853972,0.01606126085951571,0.002267087688050269,-0.01799024720452271,-0.012631179110354373,-0.016052520879075417,0.010378504935316418,-0.0011282876203134646,-0.024361640777740844,0.009170475874213078,-0.010622508448178025
PDHD-HP-25,0.021238818104351884,-0.0060725304126597315,0.0237456947383613,0.030250745903093998,0.028951584312364987,-0.008702887290781908,-0.010468602746350265,0.01839053772848588,0.007177110400944037,0.03544865753694106,0.027086355097242068,0.019152577115644366,0.0,0.020050304277983544,0.011714482236666938,-0.009089430043523042,0.023934198693187123,0.03726377256395365,0.019302383701105864,0.01976864689065608,0.014927740710935052,0.004950059906265387,0.017419150461707805,0.02721032810225338,0.03430835835609782,0.034723883873875865,0.010768213502778895,0.02496387451451452,0.006657583142126716,0.00788674855932307,0.008738931578170043,0.030864674289353352,0.0033723451489989635,0.024137341168444015,-0.00758636996826535,0.015554418751007527,0.0066103783901529985,0.02440906983801337,0.035197144778140954,0.021412992154519864,0.0011422674724032333,0.006498727694507013,0.0030871363227713273,0.02951789536178272,0.018008367342306063,-0.00524089933539155,0.02829954142944777,0.008498222155101817
PDHD-HP-26,0.0011945579387235233,-0.026115497052082555,0.00370227605750434,0.010207557689305277,0.008907425598661178,-0.028746095613153437,-0.03051418960862882,-0.0016536932749601793,-0.0128663997428484,0.015404916827902716,0.007042353315366798,-0.0008912874228999786,-0.020050304277983544,0.0,-0.008335822041316606,-0.029139734321506586,0.0038838944152035787,0.0172134682859701,-0.0007479205768776817,-0.00028165738732746415,-0.005122563567048492,-0.015100244371718157,-0.0026311538162757378,0.007160023824269835,0.014262528146405194,0.014679128468281111,-0.00927826684797469,0.004918237741372118,-0.013388552070871107,-0.012159446085288315,-0.01130827073551601,0.010818836898634865,-0.016673046837332933,0.0040896806205308394,-0.02763245259274971,-0.004491946439930677,-0.013439441700020503,0.004367456739318362,0.015151243539048573,0.001370202934031362,-0.018904375685485756,-0.013548423827408068,-0.016957789629034953,0.009472894407142276,-0.0020373483943879637,-0.025289486501465782,0.008252236595608082,-0.011550366432669124
PDHD-HP-27,0.009522120862107434,-0.017789672528504157,0.01202870748605714,0.018533679636161537,0.01723485195712622,-0.02041994666899843,-0.02218483619082685,0.006673830388459382,-0.004539845452141991,0.023731780957457,0.015369568513699864,0.0074357431894559135,-0.011714482236666938,0.008335822041316606,0.0,-0.02080391228018998,0.012219716456520185,0.025549290327286707,0.007587901464438924,0.008054164653989141,0.0032132584742681145,-0.006764422330401551,0.005704668225040868,0.01549584586558644,0.02259219937747034,0.0230073138546044,-0.0009477068779673042,0.013247643853699207,-0.005058463602178571,-0.00382927639141735,-0.0029767248062208076,0.019148517962835194,-0.008343977111793105,0.012421853036085147,-0.019302436013565925,0.0038384562519232367,-0.005104296285756123,0.0126915763179569,0.023481034658583665,0.009695857750982827,-0.010573583242595122,-0.005216942055020892,-0.008629306104507333,0.017801478132427176,0.0062921932478762965,-0.016956043878546854,0.016583926765051056,-0.0032169218572286125
PDHD-HP-28,0.03032380288777786,0.003011577689840618,0.03283010760333274,0.03933500322097122,0.03803649976097624,0.0003813835838076316,-0.0013826995725240037,0.027475502569986404,0.01626158510890701,0.04453328846162395,0.03617116351572746,0.028237292142957875,0.009089430043523042,0.029139734321506586,0.02080391228018998,0.0,0.033023628736710164,0.04635320260747669,0.028391813744628906,0.028858076934179123,0.024017170754458094,0.014039489949788429,0.026508580505230847,0.03629975814577642,0.04339440482948003,0.043809103657538574,0.01985473760236912,0.034049777364230684,0.015743854326543488,0.016973063365339353,0.01782598438269821,0.039950726074570675,0.012458064259085449,0.033224731500665426,0.0014998625813670854,0.024640858551604847,0.015699413136729984,0.03349253128085718,0.04428329870968822,0.030497144182042264,0.010228935521466568,0.01558575602743866,0.012172635746442112,0.03860344425029515,0.027094394908304602,0.003847182246083726,0.037386679695084093,0.017586304807045188
PDHD-HP-29,-0.0027033288169031576,-0.03001619964223154,-0.0001974464553903496,0.006307335060143332,0.00500931660574698,-0.03264627464475536,-0.034409142747816056,-0.0055516439400387285,-0.016765923497123077,0.011505894898930488,0.0031439010754633024,-0.004790039344732753,-0.023934198693187123,-0.0038838944152035787,-0.012219716456520185,-0.033023628736710164,0.0,0.013329573870766522,-0.004631814992081261,-0.0041655518025310425,-0.00900645798225207,-0.018984138786921734,-0.0065150482314793165,0.0032761294090662566,0.010368059577620858,0.010782109696044933,-0.01317123643677073,0.0010233203622939274,-0.017282316290596473,-0.016053073358276146,-0.015199577281023963,0.006924384952873193,-0.020568536041971043,0.00019943493322184747,-0.0315263380540554,-0.008385181032603276,-0.01732455439003003,0.00046438672349422374,0.011257060571260101,-0.002530531323194169,-0.022796915361359426,-0.017439819126089842,-0.020854084804828164,0.00557675974001341,-0.00593193729695476,-0.029177565677561756,0.004361189392107657,-0.01543844225889969
PDHD-HP-30,-0.016069784420238795,-0.04338705817475208,-0.013566817907449978,-0.007062800783122454,-0.008357501877156325,-0.04601634432254143,-0.047770508455806174,-0.018918204193462046,-0.030134987799440852,-0.001862385031749524,-0.010223472297939431,-0.018157891799922474,-0.03726377256395365,-0.0172134682859701,-0.025549290327286707,-0.04635320260747669,-0.013329573870766522,0.0,-0.01796138886284778,-0.017495125673297564,-0.022336031853018593,-0.03231371265768826,-0.01984462210224584,-0.010053444461700266,-0.002992469240121208,-0.0025835250038786987,-0.026528703332133564,-0.012338106256785917,-0.030641421221051714,-0.029411898682980754,-0.028553458061836484,-0.006436110494333581,-0.03393110078888396,-0.013152006732713686,-0.04488568970029442,-0.021743198608961935,-0.030660900094511136,-0.012907693945068506,-0.0021026091194997357,-0.015899901177399263,-0.03615352007983476,-0.03079409070567414,-0.034217276402276835,-0.007786178992368961,-0.019292317979048866,-0.04252384654381387,-0.008992335813990986,-0.028784713851740217
PDHD-HP-31,0.001898974121917566,-0.025417785433066786,0.004402285564839886,0.01090639023778841,0.009611300570469487,-0.028047160834264624,-0.02980239764655485,-0.0009494329601279628,-0.012165919833869738,0.016106591391802597,0.007745396738028099,-0.00018896579920261468,-0.019302383701105864,0.0007479205768776817,-0.007587901464438924,-0.028391813744628906,0.004631814992081261,0.01796138886284778,0.0,0.00046626318955021755,-0.00437464299017081,-0.014352323794840475,-0.001883233239398056,0.007907944401147516,0.014975450059222765,0.0153850531673599,-0.008561209127615014,0.005629933162484496,-0.012673696534391595,-0.011444212826376298,-0.010586495655738035,0.011531804302438347,-0.015962911831489682,0.004814569989326644,-0.026917930921516356,-0.0037756261028782274,-0.0126972964308544,0.005061767330803571,0.015865360983353637,0.0020692669650945084,-0.018185984378092514,-0.012826906704625064,-0.016248842235659876,0.010182223026808206,-0.0013242512877653162,-0.024558031341302973,0.008974731549321718,-0.010818900409700715
PDHD-HP-32,0.0014452817559452132,-0.02587016066128165,0.003949470027607326,0.01045380160497631,0.00915771830559046,-0.02849976905960459,-0.030257664025021093,-0.0014030935455843117,-0.012618826890822643,0.015653449721213023,0.007291982292212453,-0.0006422358773173785,-0.01976864689065608,0.00028165738732746415,-0.008054164653989141,-0.028858076934179123,0.0041655518025310425,0.017495125673297564,-0.00046626318955021755,0.0,-0.004840906179721028,-0.014818586984390692,-0.0023494964289482736,0.007441681211597299,0.014519916508885207,0.01493112139017866,-0.009017725253758234,0.005174684448293219,-0.013129684824512749,-0.011900290854827713,-0.011044185744747996,0.011076260137165506,-0.0164178014929469,0.004356066442788215,-0.0273738401509001,-0.004231964206492264,-0.013161113390307242,0.004609614340566309,0.015409528125084693,0.0016163478441342523,-0.01864279162874573,-0.01328447225217146,-0.016703586760663892,0.00972740149791436,-0.001779861709371498,-0.025018297301418004,0.008516920458618578,-0.011279169592187947
